"","ADM0_A3","scalerank","featurecla","LABELRANK","SOVEREIGNT","SOV_A3","ADM0_DIF","LEVEL","TYPE","ADMIN","GEOU_DIF","GEOUNIT","GU_A3","SU_DIF","SUBUNIT","SU_A3","BRK_DIFF","NAME","NAME_LONG","BRK_A3","BRK_NAME","BRK_GROUP","ABBREV","POSTAL","FORMAL_EN","FORMAL_FR","NOTE_ADM0","NOTE_BRK","NAME_SORT","NAME_ALT","MAPCOLOR7","MAPCOLOR8","MAPCOLOR9","MAPCOLOR13","POP_EST","GDP_MD_EST","POP_YEAR","LASTCENSUS","GDP_YEAR","ECONOMY","INCOME_GRP","WIKIPEDIA","FIPS_10_","ISO_A2","ISO_A3","ISO_N3","UN_A3","WB_A2","WB_A3","WOE_ID","WOE_ID_EH","WOE_NOTE","ADM0_A3_IS","ADM0_A3_US","ADM0_A3_UN","ADM0_A3_WB","CONTINENT","REGION_UN","SUBREGION","REGION_WB","NAME_LEN","LONG_LEN","ABBREV_LEN","TINY","HOMEPART","Country","HighIncome","OECD","SERF","GDPPC","Education","Health","Housing","Food","Work","EnrollYear","EnrollGDP","EnrollRate","EnrollAdjPerf","PrimaryYear","PrimaryGDP","PrimaryRate","PrimaryAdjPerf","ChildSurviveYear","ChildSurviveGDP","ChildSurviveRate","ChildSurviveAdjPerf","Age65Year","Age65GDP","Age65Rate","Age65AdjPerf","ContraceptiveYear","ContraceptiveGDP","ContraceptiveRate","ContraceptiveAdjPerf","SanitationYear","SanitationGDP","SanitationRate","SanitationAdjPerf","RuralImprovedH20Year","RuralImprovedH20GDP","RuralImprovedH20Rate","RuralImprovedH20AdjPerf","StuntingYear","StuntingGDP","StuntingRate","Stunting.AdjPerf","NotPoorYear","NotPoorGDP","NotPoorRate","NotPoorAdjPerf"
"64","DMA",3,"Admin-0 country",6,"Dominica","DMA",0,2,"Sovereign country","Dominica",0,"Dominica","DMA",0,"Dominica","DMA",0,"Dominica","Dominica","DMA","Dominica",NA,"D'inca","DM","Commonwealth of Dominica",NA,NA,NA,"Dominica",NA,4,5,2,12,72660,719.6,-99,2011,-99,"6. Developing region","3. Upper middle income",-99,"DO","DM","DMA","212","212","DM","DMA",23424798,23424798,"Exact WOE match as country","DMA","DMA",-99,-99,"North America","Americas","Caribbean","Latin America & Caribbean",8,8,6,4,1,"Dominica",0,0,NA,10204.03569,NA,NA,85.20993312,NA,NA,NA,NA,NA,NA,2014,10435.7462,106.6465302,100,2015,10204.03569,97.88,95.12289099,NA,NA,NA,NA,NA,NA,NA,NA,2007,9655.15077,81.1,80.87128914,2007,9655.15077,91.8,89.54857711,NA,NA,NA,NA,NA,NA,NA,NA
"65","DNK",0,"Admin-0 country",4,"Denmark","DN1",1,2,"Country","Denmark",0,"Denmark","DNK",0,"Denmark","DNK",0,"Denmark","Denmark","DNK","Denmark",NA,"Den.","DK","Kingdom of Denmark",NA,NA,NA,"Denmark",NA,4,1,3,12,5500510,203600,-99,2011,-99,"2. Developed region: nonG7","1. High income: OECD",-99,"DA","DK","DNK","208","208","DK","DNK",23424796,23424796,"Exact WOE match as country","DNK","DNK",-99,-99,"Europe","Europe","Northern Europe","Europe & Central Asia",7,7,4,-99,1,"Denmark",1,1,NA,44041.73487,97.99278381,NA,99.56809742,NA,NA,2014,43920.01695,105.1824036,100,2014,43920.01695,98.91304016,95.98556763,2015,44041.73487,99.65,99.32912642,2014,43920.01695,88.1483778,96.02525936,NA,NA,NA,NA,2015,44041.73487,99.6,99.13619483,2015,44041.73487,100,100,NA,NA,NA,NA,NA,NA,NA,NA
"66","DOM",0,"Admin-0 country",5,"Dominican Republic","DOM",0,2,"Sovereign country","Dominican Republic",0,"Dominican Republic","DOM",0,"Dominican Republic","DOM",0,"Dominican Rep.","Dominican Republic","DOM","Dominican Rep.",NA,"Dom. Rep.","DO","Dominican Republic",NA,NA,NA,"Dominican Republic",NA,5,2,5,7,9650054,78000,-99,2010,-99,"6. Developing region","3. Upper middle income",-99,"DR","DO","DOM","214","214","DO","DOM",23424800,23424800,"Exact WOE match as country","DOM","DOM",-99,-99,"North America","Americas","Caribbean","Latin America & Caribbean",14,18,9,-99,1,"Dominican Republic",0,0,85.24474763,13371.5288,81.38654022,85.37502787,77.53594954,93.26925695,88.65696356,2014,12638.9713,77.91661072,80.21276012,2014,12638.9713,90.91072083,82.56032031,2015,13371.5288,96.91,91.62859649,2014,12638.9713,75.44758003,81.44237519,2013,11887.54361,68.5,83.05411192,2015,13371.5288,84,81.2248399,2015,13371.5288,81.9,73.84705919,2013,11887.54361,92.9000001,93.26925695,2013,11887.54361,90.88,88.65696356
"67","DZA",0,"Admin-0 country",3,"Algeria","DZA",0,2,"Sovereign country","Algeria",0,"Algeria","DZA",0,"Algeria","DZA",0,"Algeria","Algeria","DZA","Algeria",NA,"Alg.","DZ","People's Democratic Republic of Algeria",NA,NA,NA,"Algeria",NA,5,1,6,3,34178188,232900,-99,2008,-99,"6. Developing region","3. Upper middle income",-99,"AG","DZ","DZA","012","012","DZ","DZA",23424740,23424740,"Exact WOE match as country","DZA","DZA",-99,-99,"Africa","Africa","Northern Africa","Middle East & North Africa",7,7,4,-99,1,"Algeria",0,0,NA,13822.56622,91.52087915,80.10812784,79.25174109,85.99672434,NA,2011,13026.19166,80.96907043,83.0417583,2014,13553.90607,108.6427383,100,2015,13822.56622,97.45,93.2968001,2014,13553.90607,81.14969671,89.00671941,2012,13209.23176,48,58.02086401,2015,13822.56622,87.6,85.16838586,2015,13822.56622,81.8,73.33509632,2012,13209.23176,88.30000019,85.99672434,NA,NA,NA,NA
"68","ECU",0,"Admin-0 country",3,"Ecuador","ECU",0,2,"Sovereign country","Ecuador",0,"Ecuador","ECU",0,"Ecuador","ECU",0,"Ecuador","Ecuador","ECU","Ecuador",NA,"Ecu.","EC","Republic of Ecuador",NA,NA,NA,"Ecuador",NA,1,5,2,12,14573101,107700,-99,2010,-99,"6. Developing region","3. Upper middle income",-99,"EC","EC","ECU","218","218","EC","ECU",23424801,23424801,"Exact WOE match as country","ECU","ECU",-99,-99,"South America","Americas","South America","Latin America & Caribbean",7,7,4,-99,1,"Ecuador",0,0,82.52854948,10776.57766,97.09394534,85.40883794,75.943446,66.39610038,87.80041776,2013,10665.62262,89.3809433,94.18789069,2014,10922.96342,112.5604172,100,2015,10776.57766,97.84,94.90117072,2014,10922.96342,80.69172826,89.20402011,2004,8311.702585,58.7,72.12132298,2015,10776.57766,84.7,83.71113305,2015,10776.57766,75.5,68.17575895,2012,10322.29471,74.79999924,66.39610038,2014,10922.96342,89.78,87.80041776
"69","EGY",0,"Admin-0 country",2,"Egypt","EGY",0,2,"Sovereign country","Egypt",0,"Egypt","EGY",0,"Egypt","EGY",0,"Egypt","Egypt","EGY","Egypt",NA,"Egypt","EG","Arab Republic of Egypt",NA,NA,NA,"Egypt, Arab Rep.",NA,4,6,7,2,83082869,443700,-99,2006,-99,"5. Emerging region: G20","4. Lower middle income",-99,"EG","EG","EGY","818","818","EG","EGY",23424802,23424802,"Exact WOE match as country","EGY","EGY",-99,-99,"Africa","Africa","Northern Africa","Middle East & North Africa",5,5,5,-99,1,"Egypt, Arab Rep.",0,0,NA,10249.95791,91.4631589,81.66840189,96.57249462,70.88094231,NA,2014,10048.57243,78.00697327,82.9263178,2013,10050.03428,103.8235321,100,2015,10249.95791,97.6,94.22360969,2014,10048.57243,74.78836699,81.40362123,2014,10048.57243,56.9,69.37797475,2015,10249.95791,94.7,94.4721686,2015,10249.95791,99,98.67282063,2014,10048.57243,77.70000076,70.88094231,NA,NA,NA,NA
"70","ERI",0,"Admin-0 country",4,"Eritrea","ERI",0,2,"Sovereign country","Eritrea",0,"Eritrea","ERI",0,"Eritrea","ERI",0,"Eritrea","Eritrea","ERI","Eritrea",NA,"Erit.","ER","State of Eritrea",NA,NA,NA,"Eritrea",NA,3,1,2,12,5647168,3945,-99,1984,-99,"7. Least developed region","5. Low income",-99,"ER","ER","ERI","232","232","ER","ERI",23424806,23424806,"Exact WOE match as country","ERI","ERI",-99,-99,"Africa","Africa","Eastern Africa","Sub-Saharan Africa",7,7,5,-99,1,"Eritrea",0,0,NA,NA,44.23257095,NA,41.65267157,41.19194457,NA,2010,1326.115392,30.04380035,39.61593819,2010,1326.115392,43.54806137,48.84920371,2011,1411.157638,94.65,96.0423638,2011,1411.157638,56.94349575,83.43597366,NA,NA,NA,NA,2011,1411.157638,14.9,20.78276788,2011,1411.157638,52.8,62.52257527,2010,1326.115392,49.70000076,41.19194457,NA,NA,NA,NA
"71","ESB",3,"Admin-0 country",3,"United Kingdom","GB1",1,2,"Dependency","Dhekelia Sovereign Base Area",0,"Dhekelia Sovereign Base Area","ESB",0,"Dhekelia Sovereign Base Area","ESB",0,"Dhekelia","Dhekelia","ESB","Dhekelia",NA,"Dhek.","DH",NA,NA,"U.K. Base",NA,"Dhekelia Soverign Base Area",NA,6,6,6,3,7850,314,-99,-99,-99,"2. Developed region: nonG7","2. High income: nonOECD",-99,"-99","-99","-99","-99","-099","-99","-99",-99,-99,"No WOE equivalent.","GBR","ESB",-99,-99,"Asia","Asia","Western Asia","Europe & Central Asia",8,8,5,3,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","ESP",0,"Admin-0 country",2,"Spain","ESP",0,2,"Sovereign country","Spain",0,"Spain","ESP",0,"Spain","ESP",0,"Spain","Spain","ESP","Spain",NA,"Sp.","E","Kingdom of Spain",NA,NA,NA,"Spain",NA,4,5,5,5,40525002,1403000,-99,2001,-99,"2. Developed region: nonG7","1. High income: OECD",-99,"SP","ES","ESP","724","724","ES","ESP",23424950,23424950,"Exact WOE match as country","ESP","ESP",-99,-99,"Europe","Europe","Southern Europe","Europe & Central Asia",5,5,3,-99,1,"Spain",1,1,NA,32329.58792,96.71049372,91.00781669,99.90731263,NA,NA,2015,32329.58792,109.28746,100,2014,31297.92566,97.87254333,93.42098745,2015,32329.58792,99.59,99.29462316,2014,31297.92566,90.53083766,99.65899388,2006,33700.88399,62.3,74.06983303,2015,32329.58792,99.9,99.81462526,2015,32329.58792,100,100,NA,NA,NA,NA,NA,NA,NA,NA
"73","EST",0,"Admin-0 country",6,"Estonia","EST",0,2,"Sovereign country","Estonia",0,"Estonia","EST",0,"Estonia","EST",0,"Estonia","Estonia","EST","Estonia",NA,"Est.","EST","Republic of Estonia",NA,NA,NA,"Estonia",NA,3,2,1,10,1299371,27410,-99,2000,-99,"2. Developed region: nonG7","1. High income: OECD",-99,"EN","EE","EST","233","233","EE","EST",23424805,23424805,"Exact WOE match as country","EST","EST",-99,-99,"Europe","Europe","Northern Europe","Europe & Central Asia",7,7,4,-99,1,"Estonia",1,1,NA,27345.24687,98.64736469,85.22526777,96.55650149,NA,97.04057758,2015,27345.24687,97.83115,97.29472939,2013,26148.48162,106.5163803,100,2015,27345.24687,99.71,99.77790389,2014,26957.23744,80.67697494,86.70956264,2005,22807.1798,57.9,69.18833678,2015,27345.24687,97.2,95.27162891,2015,27345.24687,99,97.84137406,NA,NA,NA,NA,2012,25691.99875,98.39,97.04057758
"74","ETH",0,"Admin-0 country",2,"Ethiopia","ETH",0,2,"Sovereign country","Ethiopia",0,"Ethiopia","ETH",0,"Ethiopia","ETH",0,"Ethiopia","Ethiopia","ETH","Ethiopia",NA,"Eth.","ET","Federal Democratic Republic of Ethiopia",NA,NA,NA,"Ethiopia",NA,4,4,1,13,85237338,68770,-99,2007,-99,"7. Least developed region","5. Low income",-99,"ET","ET","ETH","231","231","ET","ETH",23424808,23424808,"Exact WOE match as country","ETH","ETH",-99,-99,"Africa","Africa","Eastern Africa","Sub-Saharan Africa",8,8,4,-99,1,"Ethiopia",0,0,61.8714655,1529.893783,65.4088405,81.14594134,47.08910136,60.69070926,55.02273506,2012,1233.952174,54.0721817,71.54293353,2014,1430.803443,53.65982819,59.27474747,2015,1529.893783,94.08,92.88358222,2014,1430.803443,64.26112449,97.61259082,2014,1430.803443,33.9,52.94165096,2015,1529.893783,28,37.69575896,2015,1529.893783,48.6,56.48244377,2014,1430.803443,59.59999847,60.69070926,2010,1075.553702,28.73,55.02273506
"75","FIN",0,"Admin-0 country",3,"Finland","FI1",1,2,"Country","Finland",0,"Finland","FIN",0,"Finland","FIN",0,"Finland","Finland","FIN","Finland",NA,"Fin.","FIN","Republic of Finland",NA,NA,NA,"Finland",NA,4,1,4,6,5250275,193500,-99,2010,-99,"2. Developed region: nonG7","1. High income: OECD",-99,"FI","FI","FIN","246","246","FI","FIN",23424812,23424812,"Exact WOE match as country","FIN","FIN",-99,-99,"Europe","Europe","Northern Europe","Europe & Central Asia",7,7,4,-99,1,"Finland",1,1,NA,38940.92975,98.67898996,NA,97.58791578,NA,NA,2015,38940.92975,115.41453,100,2014,38987.41962,99.24481201,97.35797993,2015,38940.92975,99.77,99.76160063,2014,38987.41962,88.02303946,95.99830177,NA,NA,NA,NA,2015,38940.92975,97.6,95.17583156,2015,38940.92975,100,100,NA,NA,NA,NA,NA,NA,NA,NA
"76","FJI",1,"Admin-0 country",6,"Fiji","FJI",0,2,"Sovereign country","Fiji",0,"Fiji","FJI",0,"Fiji","FJI",0,"Fiji","Fiji","FJI","Fiji",NA,"Fiji","FJ","Republic of Fiji",NA,NA,NA,"Fiji",NA,5,1,2,2,944720,3579,-99,2007,-99,"6. Developing region","4. Lower middle income",-99,"FJ","FJ","FJI","242","242","FJ","FJI",23424813,23424813,"Exact WOE match as country","FJI","FJI",-99,-99,"Oceania","Oceania","Melanesia","East Asia & Pacific",4,4,4,-99,1,"Fiji",0,0,NA,8756.400469,NA,NA,90.36738401,NA,81.60142353,NA,NA,NA,NA,2013,7970.626336,102.9385834,100,2015,8756.400469,97.76,95.03497521,2014,8348.206772,70.95683361,76.91851142,NA,NA,NA,NA,2015,8756.400469,91.1,91.43602955,2015,8756.400469,91.2,89.29873848,NA,NA,NA,NA,2008,7385.259493,81.5,81.60142353
"77","FLK",1,"Admin-0 country",5,"United Kingdom","GB1",1,2,"Dependency","Falkland Islands",0,"Falkland Islands","FLK",0,"Falkland Islands","FLK",1,"Falkland Is.","Falkland Islands","B12","Falkland Is.",NA,"Flk. Is.","FK","Falkland Islands",NA,"U.K.","Admin. by U.K.; Claimed by Argentina","Falkland Islands","Islas Malvinas",6,6,6,3,3140,105.1,-99,-99,-99,"2. Developed region: nonG7","1. High income: OECD",-99,"FK","FK","FLK","238","238","-99","-99",23424814,23424814,"Exact WOE match as country","FLK","FLK",-99,-99,"South America","Americas","South America","Latin America & Caribbean",12,16,8,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","FRA",0,"Admin-0 country",2,"France","FR1",1,2,"Country","France",0,"France","FRA",0,"France","FRA",0,"France","France","FRA","France",NA,"Fr.","F","French Republic",NA,NA,NA,"France",NA,7,5,9,11,64057792,2128000,-99,-99,-99,"1. Developed region: G7","1. High income: OECD",-99,"FR","-99","-99","250","250","FR","FRA",-90,23424819,"Includes only Metropolitan France (including Corsica)","FRA","FRA",-99,-99,"Europe","Europe","Western Europe","Europe & Central Asia",6,6,3,-99,1,"France",1,1,NA,37774.99918,NA,94.47443757,98.7054871,NA,NA,2014,37451.37679,96.15029144,94.41568803,NA,NA,NA,NA,2015,37774.99918,99.57,99.14838295,2014,37451.37679,88.27983282,96.39193763,2008,37634.92905,74,87.88299213,2015,37774.99918,98.7,97.41097421,2015,37774.99918,100,100,NA,NA,NA,NA,NA,NA,NA,NA
"79","FRO",5,"Admin-0 country",6,"Denmark","DN1",1,2,"Dependency","Faroe Islands",0,"Faroe Islands","FRO",0,"Faroe Islands","FRO",0,"Faeroe Is.","Faeroe Islands","FRO","Faeroe Islands",NA,"Faeroe Is.","FO","Føroyar Is. (Faeroe Is.)",NA,"Den.",NA,"Faeroe Islands",NA,4,1,3,12,48856,1000,-99,2011,-99,"2. Developed region: nonG7","2. High income: nonOECD",-99,"FO","FO","FRO","234","234","FO","FRO",23424816,23424816,"Exact WOE match as country","FRO","FRO",-99,-99,"Europe","Europe","Northern Europe","Europe & Central Asia",10,14,10,3,-99,"Faroe Islands",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","FSM",5,"Admin-0 country",6,"Federated States of Micronesia","FSM",0,2,"Sovereign country","Federated States of Micronesia",0,"Federated States of Micronesia","FSM",0,"Federated States of Micronesia","FSM",0,"Micronesia","Federated States of Micronesia","FSM","Micronesia",NA,"F.S.M.","FSM","Federated States of Micronesia",NA,NA,NA,"Micronesia, Federated States of",NA,5,2,4,13,107434,238.1,-99,2000,-99,"6. Developing region","4. Lower middle income",-99,"FM","FM","FSM","583","583","FM","FSM",23424815,23424815,"Exact WOE match as country","FSM","FSM",-99,-99,"Oceania","Oceania","Micronesia","East Asia & Pacific",10,30,6,-99,1,"Micronesia, Fed. Sts.",0,0,NA,3284.134639,NA,NA,76.92181822,NA,67.5266955,NA,NA,NA,NA,NA,NA,NA,NA,2015,3284.134639,96.53,94.5546256,2014,3177.392591,72.52850551,88.26991996,NA,NA,NA,NA,2015,3284.134639,57.1,62.96259043,2015,3284.134639,87.4,90.88104601,NA,NA,NA,NA,2013,3299.664018,60.65,67.5266955
"81","GAB",0,"Admin-0 country",4,"Gabon","GAB",0,2,"Sovereign country","Gabon",0,"Gabon","GAB",0,"Gabon","GAB",0,"Gabon","Gabon","GAB","Gabon",NA,"Gabon","GA","Gabonese Republic",NA,NA,NA,"Gabon",NA,6,2,5,5,1514993,21110,-99,2003,-99,"6. Developing region","3. Upper middle income",-99,"GB","GA","GAB","266","266","GA","GAB",23424822,23424822,"Exact WOE match as country","GAB","GAB",-99,-99,"Africa","Africa","Middle Africa","Sub-Saharan Africa",5,5,5,3,1,"Gabon",0,0,NA,18860.21415,NA,57.77269046,38.67214229,74.52174542,65.33590916,NA,NA,NA,NA,NA,NA,NA,NA,2015,18860.21415,94.92,84.96973191,2014,18536.76837,64.19890125,65.17767149,2012,17594.95633,19.3,23.17066798,2015,18860.21415,41.9,29.16587634,2015,18860.21415,66.7,48.17840825,2012,17594.95633,82.5,74.52174542,2005,17316.60344,75.57,65.33590916
"82","GBR",0,"Admin-0 country",2,"United Kingdom","GB1",1,2,"Country","United Kingdom",0,"United Kingdom","GBR",0,"United Kingdom","GBR",0,"United Kingdom","United Kingdom","GBR","United Kingdom",NA,"U.K.","GB","United Kingdom of Great Britain and Northern Ireland",NA,NA,NA,"United Kingdom",NA,6,6,6,3,62262000,1977704,0,2011,2009,"1. Developed region: G7","1. High income: OECD",-99,"UK","GB","GBR","826","826","GB","GBR",-90,23424975,"Eh ID includes Channel Islands and Isle of Man. UK constituent countries of England (24554868), Wales (12578049), Scotland (12578048), and Northern Ireland (20070563).","GBR","GBR",-99,-99,"Europe","Europe","Northern Europe","Europe & Central Asia",14,14,4,-99,1,"United Kingdom",1,1,NA,38519.4913,NA,98.64872116,99.19359466,NA,NA,2014,37983.13319,99.8108902,99.7213597,NA,NA,NA,NA,2015,38519.4913,99.58,99.1702275,2014,37983.13319,88.72579547,96.96830143,2009,35795.1837,84,99.80763454,2015,38519.4913,99.2,98.38718933,2015,38519.4913,100,100,NA,NA,NA,NA,NA,NA,NA,NA
"83","GEO",0,"Admin-0 country",5,"Georgia","GEO",0,2,"Sovereign country","Georgia",0,"Georgia","GEO",0,"Georgia","GEO",0,"Georgia","Georgia","GEO","Georgia",NA,"Geo.","GE","Georgia",NA,NA,NA,"Georgia",NA,5,1,3,2,4615807,21510,-99,2002,-99,"6. Developing region","4. Lower middle income",-99,"GG","GE","GEO","268","268","GE","GEO",23424823,23424823,"Exact WOE match as country","GEO","GEO",-99,-99,"Asia","Asia","Western Asia","Europe & Central Asia",7,7,4,-99,1,"Georgia",0,0,86.08827974,9015.887767,96.639856,77.38998289,93.2421142,90.1622691,73.00717652,2015,9015.887767,86.32549,93.279712,2014,8749.156145,116.4574203,100,2015,9015.887767,98.81,98.32610064,2014,8749.156145,81.0372635,90.7622619,2010,6733.783769,34.7,43.08158613,2015,9015.887767,86.3,86.48422839,2015,9015.887767,100,100,2009,6254.655079,88.69999981,90.1622691,2014,8749.156145,74.73,73.00717652
"84","GGY",5,"Admin-0 country",6,"United Kingdom","GB1",1,2,"Country","Guernsey",0,"Guernsey","GGY",0,"Guernsey","GGY",0,"Guernsey","Guernsey","GGY","Guernsey","Channel Islands","Guern.","GG","Bailiwick of Guernsey",NA,"U.K. crown dependency",NA,"Guernsey",NA,6,6,6,3,68633,2742,-99,2001,-99,"2. Developed region: nonG7","2. High income: nonOECD",-99,"GK","GG","GGY","831","831","JG","CHI",23424827,23424827,"Exact WOE match as country","GGY","GGY",-99,-99,"Europe","Europe","Northern Europe","Europe & Central Asia",8,8,6,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","GHA",0,"Admin-0 country",3,"Ghana","GHA",0,2,"Sovereign country","Ghana",0,"Ghana","GHA",0,"Ghana","GHA",0,"Ghana","Ghana","GHA","Ghana",NA,"Ghana","GH","Republic of Ghana",NA,NA,NA,"Ghana",NA,5,3,1,4,23832495,34200,-99,2010,-99,"6. Developing region","4. Lower middle income",-99,"GH","GH","GHA","288","288","GH","GHA",23424824,23424824,"Exact WOE match as country","GHA","GHA",-99,-99,"Africa","Africa","Western Africa","Sub-Saharan Africa",5,5,5,-99,1,"Ghana",0,0,69.48594139,3954.523716,93.55838453,60.07667965,51.00430042,82.51041252,60.27992983,2015,3954.523716,71.96935,87.11676905,2015,3954.523716,101.1004715,100,2015,3954.523716,93.84,84.76925396,2014,3894.004399,60.20949382,66.73996692,2014,3894.004399,22.2,28.72081806,2015,3954.523716,14.9,16.00173941,2015,3954.523716,84,86.00686144,2014,3894.004399,81.29999924,82.51041252,2005,2557.426725,50.96,60.27992983
"86","GIB",0,"Admin-0 country",5,"United Kingdom","GB1",1,2,"Dependency","Gibraltar",0,"Gibraltar","GIB",0,"Gibraltar","GIB",1,"Gibraltar","Gibraltar","B55","Gibraltar",NA,"Gib.","GI",NA,NA,"U.K.","Admin. By U.K.; Claimed by Spain","Gibraltar",NA,6,6,6,3,28034,1066,-99,-99,-99,"2. Developed region: nonG7","1. High income: OECD",-99,"GI","GI","GIB","292","292","-99","-99",23424825,23424825,"Exact WOE match as country","GIB","GIB",-99,-99,"Europe","Europe","Southern Europe","Europe & Central Asia",9,9,4,5,-99,"Gibraltar",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","GIN",0,"Admin-0 country",3,"Guinea","GIN",0,2,"Sovereign country","Guinea",0,"Guinea","GIN",0,"Guinea","GIN",0,"Guinea","Guinea","GIN","Guinea",NA,"Gin.","GN","Republic of Guinea",NA,NA,NA,"Guinea",NA,6,3,7,2,10057975,10600,-99,1996,-99,"7. Least developed region","5. Low income",-99,"GV","GN","GIN","324","324","GN","GIN",23424835,23424835,"Exact WOE match as country","GIN","GIN",-99,-99,"Africa","Africa","Western Africa","Sub-Saharan Africa",6,6,4,-99,1,"Guinea",0,0,64.5210686,1135.48655,70.90750766,61.87926264,58.21100907,77.45794717,54.14961647,2014,1165.12982,53.11494827,70.45657496,2014,1165.12982,61.75585175,71.35844037,2015,1135.48655,90.63,84.70604299,2014,1165.12982,56.46795013,93.2750547,2012,1197.488792,4.59,7.656690231,2015,1135.48655,20.1,31.59977283,2015,1135.48655,67.4,84.8222453,2012,1197.488792,64.20000076,77.45794717,2012,1197.488792,31.35,54.14961647
"88","GMB",0,"Admin-0 country",6,"Gambia","GMB",0,2,"Sovereign country","Gambia",0,"Gambia","GMB",0,"Gambia","GMB",0,"Gambia","The Gambia","GMB","Gambia",NA,"Gambia","GM","Republic of the Gambia",NA,NA,NA,"Gambia, The",NA,1,4,1,8,1782893,2272,-99,2003,-99,"7. Least developed region","5. Low income",-99,"GA","GM","GMB","270","270","GM","GMB",23424821,23424821,"Exact WOE match as country","GMB","GMB",-99,-99,"Africa","Africa","Western Africa","Sub-Saharan Africa",6,10,6,-99,1,"Gambia, The",0,0,NA,1577.569039,72.90095702,61.18527009,87.87848628,89.16408342,NA,2010,1654.908123,55.69942856,72.57668086,2014,1555.529349,67.31471252,73.22523319,2015,1577.569039,93.11,89.05303769,2014,1555.529349,58.42250846,82.26036817,2013,1592.650323,8.1,12.24240441,2015,1577.569039,58.9,78.31683837,2015,1577.569039,84.4,97.44013419,2013,1592.650323,75,89.16408342,NA,NA,NA,NA
"89","GNB",0,"Admin-0 country",6,"Guinea Bissau","GNB",0,2,"Sovereign country","Guinea Bissau",0,"Guinea Bissau","GNB",0,"Guinea Bissau","GNB",0,"Guinea-Bissau","Guinea-Bissau","GNB","Guinea-Bissau",NA,"GnB.","GW","Republic of Guinea-Bissau",NA,NA,NA,"Guinea-Bissau",NA,3,5,3,4,1533964,904.2,-99,2009,-99,"7. Least developed region","5. Low income",-99,"PU","GW","GNB","624","624","GW","GNB",23424929,23424929,"Exact WOE match as country","GNB","GNB",-99,-99,"Africa","Africa","Western Africa","Sub-Saharan Africa",13,13,4,-99,1,"Guinea-Bissau",0,0,60.17510828,1367.298975,74.50444781,58.69053298,50.70821114,90.82938601,26.14296347,2006,1262.150653,59.97521973,79.27042623,2010,1326.560109,62.17481995,69.73846938,2015,1367.298975,90.75,82.39235121,2014,1336.462391,52.70671997,77.16889993,2010,1326.560109,10.3,16.5103478,2015,1367.298975,20.8,29.45105226,2015,1367.298975,60.3,71.96537003,2014,1336.462391,72.39999962,90.82938601,2010,1326.560109,16.41,26.14296347
"90","GNQ",0,"Admin-0 country",4,"Equatorial Guinea","GNQ",0,2,"Sovereign country","Equatorial Guinea",0,"Equatorial Guinea","GNQ",0,"Equatorial Guinea","GNQ",0,"Eq. Guinea","Equatorial Guinea","GNQ","Eq. Guinea",NA,"Eq. G.","GQ","Republic of Equatorial Guinea",NA,NA,NA,"Equatorial Guinea",NA,4,1,4,8,650702,14060,0,2002,0,"7. Least developed region","2. High income: nonOECD",-99,"EK","GQ","GNQ","226","226","GQ","GNQ",23424804,23424804,"Exact WOE match as country","GNQ","GNQ",-99,-99,"Africa","Africa","Middle Africa","Sub-Saharan Africa",10,17,6,-99,1,"Equatorial Guinea",0,0,NA,38243.35424,NA,43.86618281,30.18709465,45.0262396,NA,NA,NA,NA,NA,2012,47829.65765,51.23036957,7.304772584,2015,38243.35424,90.59,70.94156319,2014,42926.02595,54.17027189,50.81594329,2011,45500.22679,8.3,9.841041962,2015,38243.35424,74.5,55.22482588,2015,38243.35424,31.5,5.149363424,2010,44015.35331,73.79999924,45.0262396,NA,NA,NA,NA
